course,time,classroom,teacher
数据库系统★,(1-2节)1-16周 星期1,泰山科技学院 J3-306,孙媛媛
大学英语4★,(5-6节)1-16周 星期1,泰山科技学院 J3-212,段丹丹
大学生就业与创业指导★,(7-8节)1-8周 星期1,泰山科技学院 J1-206,曹翠平
概率论与数理统计★,(1-2节)1-16周 星期2,泰山科技学院 J1-318,李玉霞
职场关键能力★,(3-4节)1-8周 星期2,泰山科技学院 J3-106,蔡艳清
橄榄球◆,(7-8节)1-16周 星期2,泰山科技学院 未排地点,赵笑寒
网络广告学★,(9-10节)1-16周 星期2,泰山科技学院 J1-208,杨洁青
财务管理★,(1-2节)1-16周 星期3,泰山科技学院 J1-309,李妍玮
数据库系统◆,(1-2节)1-12周 星期4,泰山科技学院 G1-305软件实验室1,孙媛媛
数据采集与网络爬虫★,(3-4节)1-16周 星期4,泰山科技学院 J1-217,孙琳
数据采集与网络爬虫◆,(5-6节)1-12周 星期4,泰山科技学院 J1-408机房,孙琳
中国近现代史纲要★,(7-8节)1-16周 星期4,泰山科技学院 J1-209,赵秀丽
数据库实训◆,(9-10节)15-16周 星期4,泰山科技学院 J1-402机房,姚梅玲
创意写作★,(1-2节)1-16周 星期5,泰山科技学院 J1-405,房伟
概率论与数理统计★,(3-4节)1-15周(单) 星期5,泰山科技学院 J1-318,李玉霞
大学英语4★,(3-4节)2-16周(双) 星期5,泰山科技学院 J3-212,段丹丹
数据库实训◆,(1-6节)15-16周 星期6,泰山科技学院 J1-408机房,姚梅玲
